Dia;Dia_mes;Mes;Dia_sem;Lluvia;Lluvia_SN;Fecha;T_MAX_ALERTA;T_MAX;T_MIN;Viento_MAX;Viento_MED;SO2;CO;NO;NO2;PM2.5_UMBRAL;PM2.5;PM10_UMBRAL;PM10;O3;TOL;BEN;EBE;TCH;NMCH;SO2_MAX;CO_MAX;NO_MAX;NO2_MAX;PM2.5_MAX;PM10_MAX;O3_MAX;TOL_MAX;BEN_MAX;EBE_MAX;TCH_MAX;O3_Nivel;Dia_sem_num;Mes2
31;31;ENE;S;1.4;Si;31/01/2015;V;11.2;3.4;68;25;4.9;0.28;5.25;1.766.666.667;No;2.8;No;5.909.090.909;6.792.857.143;1.716.666.667;0.416666667;0.216666667;1.45;0.47;8;0.5;17;38;4;10;89;7;1.2;0.6;1.62;A;5;ENE
32;1;FEB;D;0;No;01/02/2015;V;8;1.9;50;20;4.6;0.28;4;1.504.166.667;No;3.4;No;5.727.272.727;72.5;1.483.333.333;0.433333333;0.183333333;1.48;0.51;7;0.5;10;33;4;8;92;6.2;1.2;0.5;1.66;A;1;FEB
33;2;FEB;L;1.8;Si;02/02/2015;V;5.1;3.3;36;18;4.6;0.33;1.170.833.333;3.229.166.667;No;6;No;8.454.545.455;4.564.285.714;2.25;0.616666667;0.366666667;1.506.666.667;0.51;8;0.6;36;56;8;13;62;7.2;1.6;1;1.72;V;3;FEB
34;3;FEB;M;4.1;Si;03/02/2015;V;9.5;2.6;46;22;4.8;0.32;1.120.833.333;3.020.833.333;No;4;No;6.545.454.545;5.592.857.143;2.3;0.55;0.333333333;1.473.333.333;0.493333333;8;0.6;35;57;6;10;75;8.4;1.6;0.8;1.66;A;4;FEB
35;4;FEB;X;0;No;04/02/2015;V;5.6;0.8;45;21;5.4;0.33;1.020.833.333;28.125;No;4.4;No;7.454.545.455;6.371.428.571;2.516.666.667;0.616666667;0.416666667;1.5;0.523333333;12;0.6;34;54;6;11;92;8.6;1.9;0.9;1.67;A;7;FEB
36;5;FEB;J;0;No;05/02/2015;V;5.8;0.9;62;28;5.5;0.33;9.291.666.667;26.375;No;5.2;No;8.909.090.909;63.5;2.4;0.633333333;0.3;1.51;0.443333333;13;0.6;27;47;6;12;92;8.6;1.9;0.9;1.66;A;2;FEB
37;6;FEB;V;0;No;06/02/2015;V;5.8;-0.2;36;15;6.3;0.38;1.445.833.333;3.654.166.667;No;5;No;8.545.454.545;5.057.142.857;2.683.333.333;0.783333333;0.35;1.536.666.667;0.496666667;12;0.7;41;58;6;11;76;9.1;2.1;0.9;1.7;A;6;FEB
38;7;FEB;S;0;No;07/02/2015;V;3.5;-0.8;28;12;8.5;0.47;24.625;4.566.666.667;No;9.6;No;1.190.909.091;2.278.571.429;2.9;1.05;0.35;1.656.666.667;0.543333333;25;0.7;73;79;12;17;42;9;2.5;0.8;1.88;V;5;FEB
39;8;FEB;D;0;No;08/02/2015;V;8.8;-1.5;30;13;8.2;0.48;18.5;3.858.333.333;No;11;No;1.218.181.818;41;2.366.666.667;1.05;0.3;1.603.333.333;0.506666667;23;0.8;37;63;12;16;61;7.9;2.4;0.7;1.82;V;1;FEB
40;9;FEB;L;0;No;09/02/2015;V;10.4;0.9;41;17;8.2;0.39;1.216.666.667;3.679.166.667;No;9.8;No;1.390.909.091;45.5;2.383.333.333;0.766666667;0.316666667;1.56;0.396666667;28;0.6;45;61;11;16;67;7.5;2;0.7;1.7;V;3;FEB
